,accuracy,accuracy,accuracy,accuracy,accuracy,f1,f1,f1,f1,f1,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,auc,auc,auc,auc,auc
threshold,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9
fold,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.803,0.807,0.803,0.806,0.811,0.791,0.796,0.791,0.797,0.8,0.792,0.797,0.792,0.797,0.801,0.803,0.807,0.803,0.806,0.811,0.78,0.778,0.783,0.775,0.777
2,0.635,0.652,0.646,0.658,0.638,0.64,0.659,0.651,0.663,0.645,0.646,0.667,0.656,0.668,0.653,0.635,0.652,0.646,0.658,0.638,0.542,0.564,0.562,0.575,0.55
3,0.693,0.687,0.688,0.675,0.686,0.698,0.689,0.69,0.676,0.69,0.703,0.691,0.692,0.678,0.694,0.693,0.687,0.688,0.675,0.686,0.643,0.632,0.629,0.613,0.597
4,0.645,0.646,0.633,0.658,0.657,0.622,0.626,0.614,0.638,0.635,0.606,0.61,0.599,0.623,0.62,0.645,0.646,0.633,0.658,0.657,0.523,0.541,0.537,0.558,0.551
5,0.679,0.676,0.677,0.687,0.674,0.62,0.609,0.619,0.619,0.61,0.6,0.582,0.598,0.599,0.583,0.679,0.676,0.677,0.687,0.674,0.536,0.549,0.556,0.56,0.537
