Fold,Num_Features,Accuracy,F1,Precision,Recall,AUC
1,3,0.5985915492957746,0.6375526864226503,0.6952467569057087,0.5985915492957746,0.5003383458646616
1,10,0.7605633802816901,0.7672351465571648,0.7750589064240202,0.7605633802816901,0.7341353383458646
1,20,0.7769953051643192,0.7827398498690984,0.7895265670584045,0.7769953051643192,0.7580827067669172
1,30,0.8192488262910798,0.8267690660195468,0.837876402422592,0.8192488262910798,0.8701879699248121
1,40,0.8380281690140845,0.8400247058117389,0.842300897890474,0.8380281690140845,0.8564661654135338
1,50,0.8544600938967136,0.8578974293065604,0.8624914099278755,0.8544600938967136,0.874172932330827
1,60,0.8075117370892019,0.8054573860031606,0.8035662184026948,0.8075117370892019,0.8516165413533835
1,70,0.8403755868544601,0.8395388093040675,0.8387487599635487,0.8403755868544601,0.8731578947368421
1,80,0.852112676056338,0.8509394265485032,0.8498769402475624,0.852112676056338,0.8924436090225564
1,90,0.852112676056338,0.8524901830405135,0.8528797164335322,0.852112676056338,0.8950751879699248
1,100,0.8755868544600939,0.8759044397007494,0.8762350957354791,0.8755868544600939,0.9017293233082707
1,110,0.8779342723004695,0.876631513075175,0.8755470677170366,0.8779342723004695,0.9065413533834586
1,120,0.8755868544600939,0.8745998350328678,0.8737337161494586,0.8755868544600939,0.9119924812030076
1,130,0.8826291079812206,0.8793228856708325,0.8774719021197894,0.8826291079812206,0.9083834586466165
2,3,0.6202783300198808,0.6433042179195522,0.6737473576336067,0.6202783300198808,0.5055254021808224
2,10,0.6878727634194831,0.7067998021642391,0.7352678243768301,0.6878727634194831,0.6621681091389174
2,20,0.7256461232604374,0.7430423145100599,0.7726461626839529,0.7256461232604374,0.725196811891839
2,30,0.7773359840954275,0.7804154588650787,0.7839067836791419,0.7773359840954275,0.7753166104346976
2,40,0.8091451292246521,0.8135780853462562,0.8193930952288586,0.8091451292246521,0.8093491760794094
2,50,0.827037773359841,0.8307937589371518,0.8358101057482983,0.827037773359841,0.8119896337587406
2,60,0.7673956262425448,0.7780613940333494,0.794523693037871,0.7673956262425448,0.7790083614493181
2,70,0.7972166998011928,0.8036763888717385,0.8128186262999432,0.7972166998011928,0.8064642315779179
2,80,0.8031809145129225,0.8080456357778552,0.8144643498118502,0.8031809145129225,0.807295486773263
2,90,0.8151093439363817,0.8196792336095002,0.8258599063253005,0.8151093439363817,0.8128208889540853
2,100,0.8190854870775348,0.8235570995533822,0.8296584251631173,0.8190854870775348,0.8045083370006356
2,110,0.8111332007952287,0.8168876084819422,0.8251697035131601,0.8111332007952287,0.8095203168549215
2,120,0.8190854870775348,0.8235570995533822,0.8296584251631173,0.8190854870775348,0.81851743191042
2,130,0.8250497017892644,0.8306227668697352,0.8391007596689986,0.8250497017892644,0.8197887633856535
3,3,0.5550122249388753,0.5842867234625764,0.6287435185350947,0.5550122249388753,0.4440077582686811
3,10,0.687041564792176,0.6987480927257018,0.7147084865207919,0.687041564792176,0.6196746971553014
3,20,0.7212713936430318,0.7286902982998266,0.738210149316226,0.7212713936430318,0.6720770382469035
3,30,0.7555012224938875,0.7545580695495233,0.7536524000979414,0.7555012224938875,0.7502722199537226
3,40,0.7457212713936431,0.7404778078063731,0.7361511385214158,0.7457212713936431,0.7903566081393767
3,50,0.7775061124694377,0.7762079681921199,0.775000830325002,0.7775061124694377,0.7559207839934667
3,60,0.7970660146699267,0.7950595032838865,0.7933238365881239,0.7970660146699267,0.8239757724241187
3,70,0.784841075794621,0.7864206870718915,0.7881624588704971,0.784841075794621,0.8538519123451749
3,80,0.78239608801956,0.7828054888387305,0.7832250387886867,0.78239608801956,0.8396964747515993
3,90,0.7775061124694377,0.7810334880909866,0.7853540594339566,0.7775061124694377,0.8434054716210698
