fold,0.5,0.6,0.7,0.8,0.9
1,0.723,0.701,0.725,0.72,0.718
2,0.544,0.537,0.532,0.537,0.537
3,0.646,0.634,0.623,0.63,0.606
4,0.695,0.704,0.709,0.713,0.702
5,0.761,0.758,0.78,0.78,0.758
