fold,0.5,0.6,0.7,0.8,0.9
1,0.872,0.872,0.872,0.872,0.851
2,0.787,0.809,0.809,0.83,0.83
3,0.826,0.826,0.826,0.848,0.848
4,0.761,0.804,0.761,0.783,0.761
5,0.804,0.826,0.826,0.804,0.848
