Feature Count,Average Accuracy,Average F1 Score,Average Precision,Average Recall,Average AUC
3,,,,,
10,,,,,
20,,,,,
30,,,,,
40,,,,,
50,,,,,
60,,,,,
70,,,,,
80,,,,,
90,,,,,
100,,,,,
110,,,,,
120,,,,,
130,,,,,
