Num Features,Test Accuracy mean,Test Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,AUC mean,AUC std
3,0.5993215979422877,0.04682356855984371,0.6009776361884844,0.04682659683669307,0.6299519056049221,0.04124093980624834,0.5993215979422877,0.04682356855984371,0.6455900286997024,0.053735889157463364
10,0.6414177177145692,0.04731524172074728,0.643906872204132,0.04503357850729965,0.6689677686823096,0.05655802784197806,0.6414177177145692,0.04731524172074728,0.6863515618854361,0.08031202396455109
20,0.6619626550361184,0.07763016329762008,0.664853192455276,0.07456115770881816,0.6903276286548744,0.07578179221359921,0.6619626550361184,0.07763016329762008,0.7208919146614952,0.09263168076478927
30,0.6572831416459601,0.07462318361647083,0.6603209336079849,0.07101532815030913,0.6848635383304364,0.07189599255154949,0.6572831416459601,0.07462318361647083,0.7084476758325764,0.08530223487575544
40,0.6693419374228969,0.0791269611838463,0.6725081569840805,0.07517283281583846,0.7022605347187773,0.06746891033392233,0.6693419374228969,0.0791269611838463,0.7193442022478658,0.07235497316403823
50,0.6919171882590174,0.052676620022476535,0.6949621346195598,0.05152146346475143,0.7156928288330009,0.038791923880117866,0.6919171882590174,0.052676620022476535,0.7531261050190903,0.07217609646773629
60,0.698679541348207,0.05312220459100179,0.7015194390577355,0.05140692109819223,0.7251510150590446,0.03850798917589122,0.698679541348207,0.05312220459100179,0.742096975171871,0.07609317731000435
70,0.6914363797122418,0.05738503626493123,0.6941328736668856,0.05654242260669538,0.7190904322558918,0.038998746681170454,0.6914363797122418,0.05738503626493123,0.7271270738565921,0.06391137344041344
80,0.6912752365076203,0.06452653834384282,0.6932077544905805,0.06354435214628038,0.7198082946894986,0.04816181777819419,0.6912752365076203,0.06452653834384282,0.7353517630651452,0.07453810915127924
90,0.6856811104937043,0.07492481232086307,0.6887175993329034,0.0727340611919567,0.7132214808769287,0.05473474288078935,0.6856811104937043,0.07492481232086307,0.7477213293335565,0.08418864532192331
100,0.6848512107582573,0.06727347299688084,0.6875120260925286,0.0651267363592258,0.7147894768563958,0.043712355528520326,0.6848512107582573,0.06727347299688084,0.7431573135813153,0.07718944318858216
110,0.672598106541135,0.08418955301933338,0.6754943039437905,0.08221144532624611,0.7028421904176314,0.060337402942709055,0.672598106541135,0.08418955301933338,0.7507448000733365,0.07680385914897596
120,0.6883265709802442,0.07469686908614816,0.6910030559561667,0.072853992324907,0.7193806357956427,0.05762149134350297,0.6883265709802442,0.07469686908614816,0.7444977812202754,0.09094277504376101
130,0.6795576687180885,0.06990239056207656,0.6820835756833945,0.0679597748038366,0.7068084530924567,0.0514848887164141,0.6795576687180885,0.06990239056207656,0.7525399081224172,0.08415767031022191
