fold,0.5,0.6,0.7,0.8,0.9
1,0.886,0.886,0.864,0.909,0.909
2,0.932,0.909,0.932,0.932,0.932
3,0.837,0.837,0.837,0.837,0.837
4,0.907,0.884,0.884,0.86,0.837
5,0.907,0.93,0.93,0.93,0.93
