metric,comparison,type1,type2,t_statistic,p_value,significant,cohens_d,mean_diff,corrected_p,significant_corrected,significance
accuracy,fimo vs fimo,fimo,fimo,0.0,1.0,False,0.0,0.0,1.0,False,ns
accuracy,fimo vs deep,fimo,deep,0.6217365641798659,0.551547397605399,False,0.39322072948316683,0.019799154334038227,1.0,False,ns
accuracy,fimo vs rp,fimo,rp,7.175769104571194,0.00010580909099549943,True,4.538354866782388,0.2368223866790009,0.0006348545459729965,True,***
accuracy,fimo vs reg,fimo,reg,0.29520334790771424,0.7753581354970899,False,0.18670299045909572,0.008885291396854789,1.0,False,ns
accuracy,deep vs fimo,deep,fimo,-0.6217365641798659,0.551547397605399,False,0.39322072948316683,-0.019799154334038227,1.0,False,ns
accuracy,deep vs deep,deep,deep,0.0,1.0,False,0.0,0.0,1.0,False,ns
accuracy,deep vs rp,deep,rp,6.322341942586456,0.0002311773459842183,True,3.9986001369973407,0.21702323234496268,0.0013870640759053097,True,**
accuracy,deep vs reg,deep,reg,-0.345985397663434,0.7383796540224108,False,0.2188203787551101,-0.010913862937183438,1.0,False,ns
accuracy,rp vs fimo,rp,fimo,-7.175769104571194,0.00010580909099549943,True,4.538354866782388,-0.2368223866790009,0.0006348545459729965,True,***
accuracy,rp vs deep,rp,deep,-6.322341942586456,0.0002311773459842183,True,3.9986001369973407,-0.21702323234496268,0.0013870640759053097,True,**
accuracy,rp vs rp,rp,rp,0.0,1.0,False,0.0,0.0,1.0,False,ns
accuracy,rp vs reg,rp,reg,-6.9677674252269455,0.00013352199389762143,True,4.406803054008823,-0.22793709528214612,0.0008011319633857286,True,***
accuracy,reg vs fimo,reg,fimo,-0.29520334790771424,0.7753581354970899,False,0.18670299045909572,-0.008885291396854789,1.0,False,ns
accuracy,reg vs deep,reg,deep,0.345985397663434,0.7383796540224108,False,0.2188203787551101,0.010913862937183438,1.0,False,ns
accuracy,reg vs rp,reg,rp,6.9677674252269455,0.00013352199389762143,True,4.406803054008823,0.22793709528214612,0.0008011319633857286,True,***
accuracy,reg vs reg,reg,reg,0.0,1.0,False,0.0,0.0,1.0,False,ns
f1,fimo vs fimo,fimo,fimo,0.0,1.0,False,0.0,0.0,1.0,False,ns
f1,fimo vs deep,fimo,deep,0.7652343592326677,0.4661935041119465,False,0.48397670379894586,0.025421477990909436,1.0,False,ns
f1,fimo vs rp,fimo,rp,6.371978580889739,0.0002249400158356487,True,4.0299931034838075,0.1951707623683393,0.0013496400950138922,True,**
f1,fimo vs reg,fimo,reg,0.3808703565790529,0.7132540590320595,False,0.24088356400606073,0.011865297886406112,1.0,False,ns
f1,deep vs fimo,deep,fimo,-0.7652343592326677,0.4661935041119465,False,0.48397670379894586,-0.025421477990909436,1.0,False,ns
f1,deep vs deep,deep,deep,0.0,1.0,False,0.0,0.0,1.0,False,ns
f1,deep vs rp,deep,rp,5.343534438058461,0.0007546292357123152,True,3.379547915962533,0.16974928437742987,0.004527775414273891,True,**
f1,deep vs reg,deep,reg,-0.4200555167422077,0.6856759971110087,False,0.26566643532487366,-0.013556180104503324,1.0,False,ns
f1,rp vs fimo,rp,fimo,-6.371978580889739,0.0002249400158356487,True,4.0299931034838075,-0.1951707623683393,0.0013496400950138922,True,**
f1,rp vs deep,rp,deep,-5.343534438058461,0.0007546292357123152,True,3.379547915962533,-0.16974928437742987,0.004527775414273891,True,**
f1,rp vs rp,rp,rp,0.0,1.0,False,0.0,0.0,1.0,False,ns
f1,rp vs reg,rp,reg,-6.193066970684828,0.00026286170025729326,True,3.9168394658646584,-0.1833054644819332,0.0015771702015437597,True,**
f1,reg vs fimo,reg,fimo,-0.3808703565790529,0.7132540590320595,False,0.24088356400606073,-0.011865297886406112,1.0,False,ns
f1,reg vs deep,reg,deep,0.4200555167422077,0.6856759971110087,False,0.26566643532487366,0.013556180104503324,1.0,False,ns
f1,reg vs rp,reg,rp,6.193066970684828,0.00026286170025729326,True,3.9168394658646584,0.1833054644819332,0.0015771702015437597,True,**
f1,reg vs reg,reg,reg,0.0,1.0,False,0.0,0.0,1.0,False,ns
precision,fimo vs fimo,fimo,fimo,0.0,1.0,False,0.0,0.0,1.0,False,ns
precision,fimo vs deep,fimo,deep,0.6863216151747064,0.5123306433876847,False,0.43406790227153064,0.0251462998602473,1.0,False,ns
precision,fimo vs rp,fimo,rp,4.26740439145906,0.003000493680044405,True,2.6989435148030845,0.1314172383416633,0.01800296208026643,True,*
precision,fimo vs reg,fimo,reg,0.38982371023277074,0.706971912721872,False,0.24654616205460853,0.012471479810243435,1.0,False,ns
precision,deep vs fimo,deep,fimo,-0.6863216151747064,0.5123306433876847,False,0.43406790227153064,-0.0251462998602473,1.0,False,ns
precision,deep vs deep,deep,deep,0.0,1.0,False,0.0,0.0,1.0,False,ns
precision,deep vs rp,deep,rp,3.134651724494107,0.01603166073191485,True,1.9825278241551998,0.106270938481416,0.09618996439148911,False,ns
precision,deep vs reg,deep,reg,-0.3622110398601182,0.7271974102627861,False,0.22908237592320205,-0.012674820050003865,1.0,False,ns
precision,rp vs fimo,rp,fimo,-4.26740439145906,0.003000493680044405,True,2.6989435148030845,-0.1314172383416633,0.01800296208026643,True,*
precision,rp vs deep,rp,deep,-3.134651724494107,0.01603166073191485,True,1.9825278241551998,-0.106270938481416,0.09618996439148911,False,ns
precision,rp vs rp,rp,rp,0.0,1.0,False,0.0,0.0,1.0,False,ns
precision,rp vs reg,rp,reg,-4.127576516707098,0.003368280510691263,True,2.610508601883694,-0.11894575853141987,0.02020968306414758,True,*
