fold,0.5,0.6,0.7,0.8,0.9
1,0.915,0.915,0.915,0.936,0.915
2,0.826,0.87,0.848,0.804,0.848
3,0.935,0.935,0.935,0.913,0.935
4,0.804,0.783,0.783,0.804,0.804
5,0.87,0.87,0.87,0.87,0.87
