model,data_type,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_std,f1_min,f1_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,auc_mean,auc_std,auc_min,auc_max
RF_CFS,deep,0.889323467230444,0.04149233779415923,0.8372093023255814,0.9318181818181818,0.8796406509053698,0.043387473780689606,0.8266117162201942,0.9268096244840431,0.8780456894211858,0.052811425320708004,0.8162790697674419,0.9366883116883117,0.889323467230444,0.04149233779415923,0.8372093023255814,0.9318181818181818,0.8899865047233468,0.04457349121769512,0.8421052631578947,0.958974358974359
RF_CFS,fimo,0.845,0.037080992435478355,0.8,0.9,0.8231497613129758,0.04723972171524467,0.7657142857142857,0.8777777777777777,0.8256053986317144,0.06239826163379433,0.7495495495495496,0.9105263157894736,0.845,0.037080992435478355,0.8,0.9,0.87113572701808,0.06886998265306846,0.7619047619047619,0.9362745098039216
RF_CFS,reg,0.8699352451433857,0.05987761226848625,0.782608695652174,0.9347826086956522,0.8586197735415846,0.05906932724694795,0.7979539641943734,0.9250916710319538,0.8578570565066126,0.07230652164010454,0.7536231884057972,0.9393326592517696,0.8699352451433857,0.05987761226848625,0.782608695652174,0.9347826086956522,0.897371794871795,0.06564939053353727,0.8041666666666667,0.9571428571428571
RF_CFS,rp,0.8187789084181313,0.04010791895281755,0.7608695652173914,0.8723404255319149,0.7907167085618588,0.046504971718247974,0.7514761137949543,0.8632589517384537,0.7669912002014165,0.06141288267815475,0.7159420289855072,0.859371833839919,0.8187789084181313,0.04010791895281755,0.7608695652173914,0.8723404255319149,0.7457417582417583,0.09883111034305228,0.6041666666666666,0.8464285714285714
RF_PCA,deep,0.8882252680432167,0.026761628320174136,0.8547671840354767,0.9154616240266963,0.8830791033111611,0.03173495925718922,0.8386524414553403,0.91159162237629,0.8812740548856155,0.035713968725052815,0.830833536652394,0.9086370407428893,0.8882252680432167,0.026761628320174136,0.8547671840354767,0.9154616240266963,0.8923584045355863,0.046178655633744896,0.8345381959430297,0.9378772079502006
RF_PCA,fimo,0.8454752693253056,0.03927081548457776,0.7799511002444988,0.8830275229357798,0.8409531243932987,0.04064740975564989,0.7723125109864647,0.8791826454559976,0.8390320783547734,0.04205474396277879,0.7673983011715361,0.8776625063944052,0.8454752693253056,0.03927081548457776,0.7799511002444988,0.8830275229357798,0.8760566557571232,0.035666555980563536,0.832135347904748,0.9226544784580499
RF_PCA,reg,0.9150538891086736,0.020036468194048446,0.8887966804979253,0.9332234130255564,0.9165682113498557,0.021433577959053277,0.8855855462363433,0.935540983185152,0.919583162893289,0.024519340865035905,0.8826225951331416,0.9447575932400408,0.9150538891086736,0.020036468194048446,0.8887966804979253,0.9332234130255564,0.9203981077134713,0.048007274968854215,0.847489790738989,0.9613548283990572
RF_PCA,rp,0.6176281240228001,0.04298905906956934,0.5629709364908504,0.6581691772885284,0.6339023143306008,0.047939314136609394,0.5693656194560992,0.6731821570640896,0.6614629582710978,0.062164404736822214,0.5764575158859683,0.7221207650080107,0.6176281240228001,0.04298905906956934,0.5629709364908504,0.6581691772885284,0.5965361807502677,0.1114954442825724,0.4281871974179667,0.6825073568753344
xgboost_CFS,deep,0.8800211416490485,0.03093208221648947,0.8372093023255814,0.9090909090909091,0.8781197655090797,0.02635638637220602,0.843523608174771,0.9069767441860465,0.8784478627934386,0.02375548982200882,0.8508275717578043,0.9069767441860465,0.8800211416490485,0.03093208221648947,0.8372093023255814,0.9090909090909091,0.8969905533063429,0.04281464518428736,0.8615384615384616,0.9692307692307692
xgboost_CFS,fimo,0.875,0.0684653196881458,0.8,0.975,0.8613850653666942,0.08673336392128796,0.7657142857142857,0.9740447957839262,0.8626829311727444,0.09395252720344044,0.7495495495495496,0.9757142857142856,0.875,0.0684653196881458,0.8,0.975,0.8251846193022663,0.15304939085420063,0.6060606060606061,0.9705882352941176
xgboost_CFS,reg,0.891581868640148,0.0438281822932386,0.8478260869565217,0.9361702127659575,0.8764826799265133,0.0559051957268778,0.7979539641943734,0.9286197012421057,0.8716796283946102,0.07829942929033554,0.7536231884057972,0.9406234537357744,0.891581868640148,0.0438281822932386,0.8478260869565217,0.9361702127659575,0.8923260073260073,0.07289522243483,0.775,0.9714285714285714
xgboost_CFS,rp,0.8057354301572618,0.0471274959234275,0.7391304347826086,0.8723404255319149,0.7914544990314779,0.048227701800413705,0.7391304347826086,0.8632589517384537,0.7795951031587638,0.05666664114793725,0.7129446640316206,0.859371833839919,0.8057354301572618,0.0471274959234275,0.7391304347826086,0.8723404255319149,0.6750915750915751,0.12940577900575545,0.525,0.8607142857142858
xgboost_PCA,deep,0.8852008456659618,0.05251662861623189,0.7954545454545454,0.9302325581395349,0.8793431603558185,0.05418926853126453,0.7853855005753739,0.9166070902897515,0.8803127417109267,0.06211703310653829,0.7755681818181818,0.9353374929098128,0.8852008456659618,0.05251662861623189,0.7954545454545454,0.9302325581395349,0.9172199730094468,0.041603729505325183,0.8461538461538461,0.9487179487179488
