accuracy,f1,precision,recall,auc,num_subjects,num_positive,num_negative,data_type,fold,model
0.9,0.8777777777777777,0.9105263157894736,0.9,0.9215686274509804,40.0,6.0,34.0,fimo,1,RF_CFS
0.85,0.85,0.85,0.85,0.9362745098039216,40.0,6.0,34.0,fimo,2,RF_CFS
0.85,0.8397058823529411,0.8357142857142857,0.85,0.857142857142857,40.0,7.0,33.0,fimo,3,RF_CFS
0.8,0.7657142857142857,0.7495495495495496,0.8,0.7619047619047619,40.0,7.0,33.0,fimo,4,RF_CFS
0.825,0.7825508607198748,0.7822368421052631,0.825,0.8787878787878789,40.0,7.0,33.0,fimo,5,RF_CFS
0.8636363636363636,0.8482954545454546,0.8377679231337768,0.8636363636363636,0.8717948717948718,44.0,5.0,39.0,deep,1,RF_CFS
0.9318181818181818,0.9184704184704183,0.9366883116883117,0.9318181818181818,0.958974358974359,44.0,5.0,39.0,deep,2,RF_CFS
0.8372093023255814,0.8266117162201942,0.8162790697674419,0.8372093023255814,0.8717948717948718,43.0,4.0,39.0,deep,3,RF_CFS
0.8837209302325582,0.8780160408067383,0.873881932021467,0.8837209302325582,0.9052631578947369,43.0,5.0,38.0,deep,4,RF_CFS
0.9302325581395349,0.9268096244840431,0.9256112104949314,0.9302325581395349,0.8421052631578947,43.0,5.0,38.0,deep,5,RF_CFS
0.8723404255319149,0.8632589517384537,0.859371833839919,0.8723404255319149,0.8464285714285714,47.0,7.0,40.0,rp,1,RF_CFS
0.8085106382978723,0.7609511889862328,0.7186761229314421,0.8085106382978723,0.7571428571428571,47.0,7.0,40.0,rp,2,RF_CFS
0.8260869565217391,0.8108165429480383,0.7986542443064183,0.8260869565217391,0.8250000000000001,46.0,6.0,40.0,rp,3,RF_CFS
0.7608695652173914,0.7514761137949543,0.7423117709437964,0.7608695652173914,0.6041666666666666,46.0,6.0,40.0,rp,4,RF_CFS
0.8260869565217391,0.7670807453416149,0.7159420289855072,0.8260869565217391,0.6959706959706959,46.0,7.0,39.0,rp,5,RF_CFS
0.9148936170212766,0.9088393011589689,0.9094224924012159,0.9148936170212766,0.9571428571428571,47.0,7.0,40.0,reg,1,RF_CFS
0.8478260869565217,0.7979539641943734,0.7536231884057972,0.8478260869565217,0.8041666666666667,46.0,6.0,40.0,reg,2,RF_CFS
0.9347826086956522,0.9250916710319538,0.9393326592517696,0.9347826086956522,0.9416666666666667,46.0,6.0,40.0,reg,3,RF_CFS
0.782608695652174,0.8008878443661053,0.8304912478825522,0.782608695652174,0.8534798534798534,46.0,7.0,39.0,reg,4,RF_CFS
0.8695652173913043,0.8603260869565218,0.8564156945917286,0.8695652173913043,0.9304029304029304,46.0,7.0,39.0,reg,5,RF_CFS
0.8661971830985915,0.8602757374218255,0.8575481634473356,0.8661971830985915,0.8991353383458647,,,,fimo,1,RF_PCA
0.8469184890656064,0.8471963021057601,0.847482387230018,0.8469184890656064,0.832135347904748,,,,fimo,2,RF_PCA
0.7799511002444988,0.7723125109864647,0.7673983011715361,0.7799511002444988,0.8553150945964338,,,,fimo,3,RF_PCA
0.8830275229357798,0.8791826454559976,0.8776625063944052,0.8830275229357798,0.8710430194805195,,,,fimo,4,RF_PCA
