fold,0.5,0.6,0.7,0.8,0.9,avg_accuracy
1,0.8030139935414424,0.8073196986006459,0.8030139935414424,0.806243272335845,0.8105489773950484,0.691093840524833
2,0.6354961832061069,0.6517175572519084,0.6459923664122137,0.6583969465648855,0.6383587786259542,0.6935381365638325
3,0.6927710843373494,0.6867469879518072,0.6877510040160643,0.6746987951807228,0.6857429718875502,0.6893360754207176
4,0.6451612903225806,0.6463560334528077,0.6332138590203107,0.6583034647550776,0.6571087216248507,0.6969560739828334
5,0.6790266512166859,0.6755504055619931,0.6767091541135574,0.6871378910776361,0.6743916570104287,0.6932302213087664
Avg,0.691093840524833,0.6935381365638325,0.6893360754207176,0.6969560739828334,0.6932302213087664

fold,0.5,0.6,0.7,0.8,0.9,avg_f1_score
1,0.8030139935414424,0.8073196986006459,0.8030139935414424,0.806243272335845,0.8105489773950484,0.6742294062100667
2,0.6354961832061069,0.6517175572519084,0.6459923664122137,0.6583969465648855,0.6383587786259542,0.6757033368644294
3,0.6927710843373494,0.6867469879518072,0.6877510040160643,0.6746987951807228,0.6857429718875502,0.6730455543930918
4,0.6451612903225806,0.6463560334528077,0.6332138590203107,0.6583034647550776,0.6571087216248507,0.678515431356028
5,0.6790266512166859,0.6755504055619931,0.6767091541135574,0.6871378910776361,0.6743916570104287,0.6758592737961223
Avg,0.6742294062100667,0.6757033368644294,0.6730455543930918,0.678515431356028,0.6758592737961223

fold,0.5,0.6,0.7,0.8,0.9,avg_precision
1,0.8030139935414424,0.8073196986006459,0.8030139935414424,0.806243272335845,0.8105489773950484,0.6692570868032662
2,0.6354961832061069,0.6517175572519084,0.6459923664122137,0.6583969465648855,0.6383587786259542,0.6695983493749247
3,0.6927710843373494,0.6867469879518072,0.6877510040160643,0.6746987951807228,0.6857429718875502,0.6675585377551877
4,0.6451612903225806,0.6463560334528077,0.6332138590203107,0.6583034647550776,0.6571087216248507,0.6728447678565354
5,0.6790266512166859,0.6755504055619931,0.6767091541135574,0.6871378910776361,0.6743916570104287,0.6701701058315599
Avg,0.6692570868032662,0.6695983493749247,0.6675585377551877,0.6728447678565354,0.6701701058315599

fold,0.5,0.6,0.7,0.8,0.9,avg_recall
1,0.8030139935414424,0.8073196986006459,0.8030139935414424,0.806243272335845,0.8105489773950484,0.691093840524833
2,0.6354961832061069,0.6517175572519084,0.6459923664122137,0.6583969465648855,0.6383587786259542,0.6935381365638325
3,0.6927710843373494,0.6867469879518072,0.6877510040160643,0.6746987951807228,0.6857429718875502,0.6893360754207176
4,0.6451612903225806,0.6463560334528077,0.6332138590203107,0.6583034647550776,0.6571087216248507,0.6969560739828334
5,0.6790266512166859,0.6755504055619931,0.6767091541135574,0.6871378910776361,0.6743916570104287,0.6932302213087664
Avg,0.691093840524833,0.6935381365638325,0.6893360754207176,0.6969560739828334,0.6932302213087664

fold,0.5,0.6,0.7,0.8,0.9,avg_auc
1,0.8030139935414424,0.8073196986006459,0.8030139935414424,0.806243272335845,0.8105489773950484,0.6049167588916194
2,0.6354961832061069,0.6517175572519084,0.6459923664122137,0.6583969465648855,0.6383587786259542,0.6127589197530318
3,0.6927710843373494,0.6867469879518072,0.6877510040160643,0.6746987951807228,0.6857429718875502,0.6133536112735491
4,0.6451612903225806,0.6463560334528077,0.6332138590203107,0.6583034647550776,0.6571087216248507,0.616085472774274
5,0.6790266512166859,0.6755504055619931,0.6767091541135574,0.6871378910776361,0.6743916570104287,0.6022233838104349
Avg,0.6049167588916194,0.6127589197530318,0.6133536112735491,0.616085472774274,0.6022233838104349
