Num Features,Test Accuracy mean,Test Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,AUC mean,AUC std,Fold mean,Fold std
3,0.4689655172413793,,0.4872851499946621,,0.5369508738781293,,0.4689655172413793,,0.5270092226613966,,2.0,
10,0.5310344827586206,,0.5441628242482532,,0.5663421230561191,,0.5310344827586206,,0.536231884057971,,2.0,
20,0.6068965517241379,,0.605724339773898,,0.6046053639846742,,0.6068965517241379,,0.6051822573561704,,2.0,
30,0.6482758620689655,,0.6472270408503297,,0.6462375478927204,,0.6482758620689655,,0.7140974967061923,,2.0,
40,0.7172413793103448,,0.7264346990026049,,0.7597015915119363,,0.7172413793103448,,0.7606499780412823,,2.0,
50,0.7172413793103448,,0.726741593954785,,0.7656835187457935,,0.7172413793103448,,0.7569169960474308,,2.0,
60,0.7517241379310344,,0.7596238244514107,,0.790301724137931,,0.7517241379310344,,0.7839262187088274,,2.0,
70,0.7448275862068966,,0.7534009506421231,,0.7926600419652401,,0.7448275862068966,,0.8115942028985508,,2.0,
80,0.7448275862068966,,0.7534009506421231,,0.7926600419652401,,0.7448275862068966,,0.816205533596838,,2.0,
90,0.7448275862068966,,0.7534009506421231,,0.7926600419652401,,0.7448275862068966,,0.818620992534036,,2.0,
100,0.7379310344827587,,0.7468390804597701,,0.7891046073601854,,0.7379310344827587,,0.831357048748353,,2.0,
110,0.7517241379310344,,0.7599435434770577,,0.7962726346838088,,0.7517241379310344,,0.8322353974527888,,2.0,
120,0.7379310344827587,,0.7468390804597701,,0.7891046073601854,,0.7379310344827587,,0.8337725076855511,,2.0,
130,0.7379310344827587,,0.7468390804597701,,0.7891046073601854,,0.7379310344827587,,0.8225735617039963,,2.0,
