,accuracy,accuracy,accuracy,accuracy,accuracy,f1,f1,f1,f1,f1,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,auc,auc,auc,auc,auc
threshold,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9
fold,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.851,0.851,0.872,0.872,0.872,0.833,0.833,0.863,0.863,0.863,0.827,0.827,0.859,0.859,0.859,0.851,0.851,0.872,0.872,0.872,0.854,0.871,0.861,0.854,0.868
2,0.766,0.809,0.809,0.745,0.766,0.738,0.802,0.802,0.727,0.758,0.713,0.797,0.797,0.709,0.751,0.766,0.809,0.809,0.745,0.766,0.629,0.636,0.611,0.625,0.618
3,0.804,0.804,0.804,0.826,0.783,0.797,0.775,0.797,0.787,0.783,0.79,0.748,0.79,0.751,0.783,0.804,0.804,0.804,0.826,0.783,0.763,0.758,0.742,0.717,0.683
4,0.761,0.783,0.739,0.761,0.783,0.751,0.764,0.739,0.751,0.764,0.742,0.745,0.739,0.742,0.745,0.761,0.783,0.739,0.761,0.783,0.542,0.529,0.525,0.546,0.538
5,0.804,0.804,0.804,0.826,0.804,0.756,0.756,0.756,0.767,0.756,0.713,0.713,0.713,0.716,0.713,0.804,0.804,0.804,0.826,0.804,0.604,0.59,0.637,0.63,0.601
