Num Features,Test Accuracy mean,Test Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,AUC mean,AUC std,Fold mean,Fold std
3,0.4885844748858447,,0.4900780949942389,,0.5077550096230047,,0.4885844748858447,,0.5381464413722478,,3.0,
10,0.6757990867579908,,0.6765834710720189,,0.7014013487953217,,0.6757990867579908,,0.7580645161290323,,3.0,
20,0.684931506849315,,0.6839589312525626,,0.7234380364902144,,0.684931506849315,,0.7350230414746544,,3.0,
30,0.726027397260274,,0.7258331714785152,,0.7615448828277049,,0.726027397260274,,0.8349974398361495,,3.0,
40,0.6757990867579908,,0.6721378680878384,,0.7291818322193545,,0.6757990867579908,,0.7984297661717017,,3.0,
50,0.634703196347032,,0.6365510606130023,,0.6512415815274659,,0.634703196347032,,0.7147977470558116,,3.0,
60,0.6666666666666666,,0.6684233640755379,,0.6824561403508771,,0.6666666666666666,,0.7544802867383512,,3.0,
70,0.7625570776255708,,0.7638488243576044,,0.7778667282712369,,0.7625570776255708,,0.839989759344598,,3.0,
80,0.7442922374429224,,0.7456833493081892,,0.7594951474964375,,0.7442922374429224,,0.8308585082778631,,3.0,
90,0.7488584474885844,,0.7501819866322545,,0.7652968036529681,,0.7488584474885844,,0.8446833930704899,,3.0,
100,0.730593607305936,,0.7320134038418732,,0.7468877673636145,,0.730593607305936,,0.8358081583888035,,3.0,
110,0.8036529680365296,,0.8047263312608207,,0.8114534180243688,,0.8036529680365296,,0.8512544802867383,,3.0,
120,0.7853881278538812,,0.7865832866101018,,0.7995992373392835,,0.7853881278538812,,0.8532172725721112,,3.0,
130,0.7853881278538812,,0.7866117821715365,,0.7972876940829687,,0.7853881278538812,,0.8632019115890084,,3.0,
