Fold,Num_Features,Accuracy,F1,Precision,Recall,AUC
1,3,0.7738572574178028,0.8098279134501362,0.8579174775087905,0.7738572574178028,0.6491390013060093
1,10,0.8460304731355253,0.8574415912480357,0.8708567814909538,0.8460304731355253,0.7462472388384579
1,20,0.8789093825180433,0.880133599663268,0.8813944659639119,0.8789093825180433,0.8371680559810387
1,30,0.9037690457097033,0.900293803464326,0.8973508990108341,0.9037690457097033,0.8436658551135905
1,40,0.9029671210906175,0.9006223069136092,0.8985231631099805,0.9029671210906175,0.8441656858160946
1,50,0.9069767441860465,0.9031556537783094,0.9000408539718107,0.9069767441860465,0.8729140129955982
1,60,0.9021651964715317,0.9009093588871722,0.8997249587481679,0.9021651964715317,0.9093774689218168
1,70,0.9013632718524459,0.9031228313712155,0.9050356967875713,0.9013632718524459,0.9139646248851195
1,80,0.917401764234162,0.914620505438031,0.9123867572443467,0.917401764234162,0.9314022669740893
1,90,0.9262229350441058,0.9239168885022657,0.9221304962318921,0.9262229350441058,0.9257428935360604
1,100,0.9230152365677626,0.9190631715509775,0.9164094977370978,0.9230152365677626,0.9260008706728365
1,110,0.9342421812349639,0.929796438352631,0.9278166971801507,0.9342421812349639,0.933200045145999
1,120,0.9326383319967922,0.9291802751071051,0.9271580528901548,0.9326383319967922,0.9506296254494446
1,130,0.9390537289494787,0.9306393978804669,0.9323452814747176,0.9390537289494787,0.9495977169023396
2,3,0.750207468879668,0.796749043076742,0.8623760836745947,0.750207468879668,0.5892613717893529
2,10,0.8796680497925311,0.8933166479422233,0.9145546198642707,0.8796680497925311,0.843889008466064
2,20,0.8804979253112033,0.8922151144233552,0.9090941461177495,0.8804979253112033,0.8368219974171329
2,30,0.8979253112033195,0.902241448000999,0.9073896456061086,0.8979253112033195,0.8515479265317836
2,40,0.9112033195020747,0.9110025310783717,0.9108040404799007,0.9112033195020747,0.8860668675563209
2,50,0.8887966804979253,0.895220687211348,0.9031751966703055,0.8887966804979253,0.8781837422872721
2,60,0.8763485477178423,0.8801993308397186,0.8843822267735171,0.8763485477178423,0.8420774142631654
2,70,0.8738589211618257,0.8789644385827261,0.8846449492580383,0.8738589211618257,0.8594848615296312
2,80,0.8854771784232365,0.8892618842725724,0.8934712495488675,0.8854771784232365,0.8752152389151959
2,90,0.8879668049792531,0.8910220938915103,0.8943665895401681,0.8879668049792531,0.8813674845745444
2,100,0.8796680497925311,0.8838716392991627,0.8885216361512218,0.8796680497925311,0.872605467068446
2,110,0.8730290456431535,0.8797283054058352,0.8874730189322577,0.8730290456431535,0.8755111924235901
2,120,0.8946058091286307,0.9001666325917718,0.9070445689675101,0.8946058091286307,0.8846140048787487
2,130,0.9004149377593361,0.9061677795922517,0.9136253852936602,0.9004149377593361,0.8987928684172765
3,3,0.7615793470007594,0.8174739121431209,0.8950798853904582,0.7615793470007592,0.5451576171640896
3,10,0.9043280182232346,0.9130137155005513,0.924069771783314,0.9043280182232346,0.7722741619721124
3,20,0.9316628701594533,0.9368508097782421,0.9441940563125167,0.9316628701594533,0.9171560989252467
3,30,0.9400151860288535,0.9444517243073784,0.9511053810932589,0.9400151860288535,0.9316293100003995
3,40,0.9476082004555809,0.9508426932802112,0.9556801332976675,0.9476082004555809,0.9398597626752966
3,50,0.9460895975702354,0.9496426758022409,0.9550179839510431,0.9460895975702354,0.9490391146270326
3,60,0.9445709946848899,0.949504183298613,0.9579697154808052,0.9445709946848899,0.9646709816612729
3,70,0.9445709946848899,0.9482241596276562,0.9536722493221869,0.9445709946848899,0.96923568660354
3,80,0.9415337889141989,0.9475411611008593,0.9583695442371319,0.9415337889141989,0.9707139717927205
3,90,0.9506454062262718,0.9544876769952211,0.9610822382560166,0.9506454062262718,0.9775860002397219
3,100,0.9476082004555809,0.9516869186564655,0.9584429706216416,0.9476082004555809,0.9772563825961884
3,110,0.9506454062262718,0.9538982243259951,0.9590551878376111,0.9506454062262718,0.9738603220264493
3,120,0.9453302961275627,0.9506734484365871,0.9604398037027412,0.9453302961275627,0.9759578888489353
3,130,0.9400151860288535,0.9463737149926977,0.95786170754401,0.9400151860288535,0.9768368692316912
4,3,0.7751646284101599,0.8147189437195711,0.8709008766080506,0.7751646284101599,0.6090141429988696
4,10,0.793038570084666,0.8270062952474556,0.8746544401092928,0.793038570084666,0.7023625498927163
4,20,0.8588899341486359,0.873686589650623,0.8936144947773409,0.8588899341486359,0.8170523498604159
4,30,0.8730009407337723,0.8831160321427179,0.8960542553740045,0.8730009407337723,0.832960339616547
4,40,0.8767638758231421,0.8849069651085291,0.8949024549859389,0.8767638758231421,0.8182520822278108
4,50,0.883349012229539,0.8931986375109494,0.9066444473545835,0.883349012229539,0.8559167570311238
4,60,0.8955785512699906,0.8996706063960977,0.9044489653922331,0.8955785512699906,0.8473571280252866
4,70,0.8692380056444027,0.8820411000912102,0.8995069993009653,0.8692380056444027,0.8364095701728076
4,80,0.8654750705550329,0.880810175161694,0.9030334886874712,0.8654750705550329,0.845453706480862
4,90,0.8654750705550329,0.8793982050967095,0.8985693348428749,0.8654750705550329,0.8463535057564081
4,100,0.8739416745061148,0.8849773847145327,0.8996374193457121,0.8739416745061148,0.8522598804881988
4,110,0.8682972718720602,0.8813793562868233,0.8992687615211882,0.8682972718720602,0.8605887917310754
4,120,0.8889934148635936,0.8983664453733228,0.9115112028315152,0.8889934148635936,0.8836144244745403
4,130,0.8993414863593603,0.9041041373712849,0.9099441653013628,0.8993414863593603,0.879034676879773
5,3,0.7213520197856554,0.7824550675776285,0.8721954659101466,0.7213520197856554,0.5635834753481812
5,10,0.8425391591096455,0.8690159865899517,0.9104019268865894,0.8425391591096455,0.7751953928424516
5,20,0.8920032976092334,0.9068420122694887,0.9325004136695064,0.8920032976092334,0.8906975377563613
5,30,0.9117889530090684,0.9213956207319166,0.9376047713479224,0.9117889530090684,0.9180133591898297
5,40,0.921681780708986,0.9291140916002185,0.9415908275447179,0.921681780708986,0.9205892147068618
5,50,0.9274525968672712,0.9320941542722836,0.9388552315555238,0.9274525968672712,0.935319582378406
5,60,0.9282769991755977,0.9342029513595591,0.9439459583291475,0.9282769991755977,0.9507747154805979
5,70,0.9307502061005771,0.9346724357482845,0.940259081630538,0.9307502061005771,0.9549666020254255
5,80,0.9431162407254741,0.9457898224122566,0.9496947521289573,0.9431162407254741,0.9588156941098118
5,90,0.9406430338004946,0.9430741095455121,0.9464064099499143,0.9406430338004946,0.9575228692875752
5,100,0.9398186314921682,0.9424060703734216,0.945985457007858,0.9398186314921682,0.9604023427552839
5,110,0.9365210222588624,0.9397533535970872,0.9443715252708728,0.9365210222588624,0.9649566120154356
5,120,0.9472382522671063,0.9491805903317342,0.9518830266319243,0.9472382522671063,0.9662592309651132
5,130,0.9381698268755152,0.9408281544932414,0.9444648482071712,0.9381698268755152,0.9650447591624063
