fold,0.5,0.6,0.7,0.8,0.9
1,0.863,0.857,0.852,0.867,0.867
2,0.887,0.888,0.891,0.884,0.889
3,0.861,0.867,0.858,0.867,0.863
4,0.856,0.841,0.848,0.848,0.837
5,0.886,0.897,0.898,0.89,0.901
