group1,group2,metric,t_statistic,p_value,bonferroni_p,mean_diff,effect_size,significant
fimo,deep,recall,0.6217365641798657,0.5515473976053991,3.3092843856323944,0.019799154334038227,0.3932207294831666,False
fimo,rp,recall,7.175769104571194,0.00010580909099549943,0.0006348545459729965,0.2368223866790009,4.538354866782388,True
fimo,reg,recall,0.29520334790771796,0.7753581354970872,4.6521488129825235,0.0088852913968549,0.18670299045909808,False
deep,rp,recall,6.322341942586452,0.00023117734598421927,0.0013870640759053156,0.21702323234496268,3.998600136997339,True
deep,reg,recall,-0.34598539766343034,0.7383796540224135,4.430277924134481,-0.010913862937183327,-0.21882037875510774,False
rp,reg,recall,-6.967767425226942,0.0001335219938976218,0.0008011319633857308,-0.227937095282146,-4.406803054008821,True
