group1,group2,metric,t_statistic,p_value,bonferroni_p,mean_diff,effect_size,significant
fimo,deep,precision,0.6863216151747061,0.5123306433876849,3.073983860326109,0.0251462998602473,0.4340679022715305,False
fimo,rp,precision,4.267404391459059,0.0030004936800444105,0.018002962080266464,0.1314172383416633,2.6989435148030845,True
fimo,reg,precision,0.38982371023277074,0.7069719127218721,4.241831476331233,0.012471479810243435,0.24654616205460853,False
deep,rp,precision,3.134651724494106,0.016031660731914876,0.09618996439148925,0.106270938481416,1.9825278241551991,False
deep,reg,precision,-0.36221103986011816,0.7271974102627861,4.363184461576717,-0.012674820050003865,-0.229082375923202,False
rp,reg,precision,-4.127576516707098,0.0033682805106912636,0.020209683064147582,-0.11894575853141987,-2.6105086018836947,True
