metric,f_statistic,p_value,significant,effect_size
accuracy,24.905797231178866,2.87032822268114e-06,True,0.8236280860669848
f1,17.08668128647088,3.0396016510870282e-05,True,0.7621173124203836
precision,6.697834625650475,0.0038727841351058985,True,0.556706933897397
recall,24.905797231178866,2.87032822268114e-06,True,0.8236280860669848
auc,15.822982747933247,4.7958945658731935e-05,True,0.7479082221665292
