,accuracy,accuracy,accuracy,accuracy,accuracy,f1,f1,f1,f1,f1,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,auc,auc,auc,auc,auc
threshold,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9
fold,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.846,0.846,0.85,0.882,0.867,0.843,0.842,0.848,0.873,0.855,0.84,0.838,0.846,0.867,0.846,0.846,0.846,0.85,0.882,0.867,0.817,0.824,0.818,0.807,0.803
2,0.889,0.891,0.888,0.901,0.9,0.879,0.878,0.88,0.893,0.891,0.877,0.878,0.877,0.892,0.891,0.889,0.891,0.888,0.901,0.9,0.879,0.903,0.889,0.902,0.878
3,0.868,0.869,0.867,0.862,0.864,0.866,0.87,0.865,0.862,0.864,0.865,0.872,0.863,0.862,0.864,0.868,0.869,0.867,0.862,0.864,0.88,0.881,0.857,0.876,0.868
4,0.841,0.837,0.837,0.841,0.843,0.84,0.835,0.837,0.836,0.84,0.839,0.833,0.836,0.832,0.838,0.841,0.837,0.837,0.841,0.843,0.844,0.833,0.835,0.847,0.851
5,0.886,0.877,0.879,0.887,0.879,0.893,0.885,0.886,0.894,0.886,0.904,0.899,0.895,0.903,0.896,0.886,0.877,0.879,0.887,0.879,0.796,0.787,0.772,0.784,0.784
