Fold,Num_Features,Accuracy,F1,Precision,Recall,AUC
1,3,0.542518837459634,0.559213378349244,0.5824230980643206,0.542518837459634,0.44746474261524427
1,10,0.6695371367061357,0.6619462846032725,0.655933856718403,0.6695371367061357,0.5775720934583812
1,20,0.6856835306781486,0.6751388651479663,0.6678514313089959,0.6856835306781486,0.5710468461304582
1,30,0.7093649085037675,0.6926044449220387,0.6846917950253123,0.7093649085037675,0.6052342306522909
1,40,0.7179763186221744,0.7028367490777618,0.6958305609335158,0.7179763186221744,0.6387667516430058
1,50,0.7761033369214209,0.7640841366724216,0.7619840403617619,0.7761033369214209,0.7095855649367355
1,60,0.7814854682454252,0.7732106250277754,0.7704209872380005,0.7814854682454252,0.7263021259676778
1,70,0.790096878363832,0.7773498703088518,0.7773962595173713,0.790096878363832,0.724489557265477
1,80,0.8008611410118407,0.7879364754518952,0.78982637474596,0.8008611410118407,0.7467666113151064
1,90,0.8051668460710442,0.7916865571134437,0.7949529097921754,0.8051668460710442,0.7511401641836424
1,100,0.8148546824542519,0.8034198394104681,0.806159037031315,0.8148546824542519,0.7715227915896812
1,110,0.8094725511302476,0.7971067900269482,0.7999421432149215,0.8094725511302476,0.7870582594662862
1,120,0.8180839612486545,0.8070365542676716,0.8098820066811897,0.8180839612486545,0.7801997333769909
1,130,0.8191603875134553,0.8098059548083156,0.8109870915890779,0.8191603875134553,0.772592791823561
2,3,0.5982824427480916,0.6282152729796179,0.7000363867155532,0.5982824427480916,0.6439779398683508
2,10,0.6650763358778626,0.6853495072696648,0.7237938373487022,0.6650763358778626,0.7162934912445675
2,20,0.7442748091603053,0.7539729176309988,0.7694615823950862,0.7442748091603053,0.7669911302005236
2,30,0.75,0.7556888910416314,0.7631538043957369,0.75,0.7714285714285715
2,40,0.7824427480916031,0.7827493034310519,0.7830620484477229,0.7824427480916031,0.7828296947670725
2,50,0.7624045801526718,0.7601208105022719,0.7580867756091645,0.7624045801526718,0.7578214349251531
2,60,0.7872137404580153,0.7873641385223189,0.7875161074072716,0.7872137404580153,0.7998119297532214
2,70,0.7681297709923665,0.7707768037808831,0.7738464638812812,0.7681297709923665,0.815198109131573
2,80,0.791030534351145,0.7931489557906904,0.7956186790405704,0.791030534351145,0.811050397743157
2,90,0.7795801526717557,0.7818146519983995,0.7843896147735707,0.7795801526717557,0.8093475995628638
2,100,0.7833969465648855,0.7864127844205008,0.7900987490739304,0.7833969465648855,0.8215569166645489
2,110,0.7681297709923665,0.7735354577924533,0.780909922236438,0.7681297709923665,0.8083005057564745
2,120,0.773854961832061,0.7783573308885758,0.7842697655295675,0.773854961832061,0.8014435662185173
2,130,0.7690839694656488,0.7735472039488392,0.7793153830753942,0.7690839694656488,0.8184969629196636
3,3,0.643574297188755,0.6699165155979774,0.7200039417302863,0.643574297188755,0.6454097478156445
3,10,0.751004016064257,0.7605906219513779,0.7748431752331167,0.751004016064257,0.7565294037611732
3,20,0.7730923694779116,0.770733357555558,0.768616360542537,0.7730923694779116,0.7752406192507233
3,30,0.7630522088353414,0.7588304025233757,0.7552605803224716,0.7630522088353414,0.7469282963506326
3,40,0.820281124497992,0.8158506618884407,0.8129019801289525,0.820281124497992,0.8347343575303325
3,50,0.8072289156626506,0.804874459670744,0.8028920482556394,0.8072289156626506,0.8103736919008773
3,60,0.8263052208835341,0.8227085824982502,0.8201995193154034,0.8263052208835341,0.8246126725152773
3,70,0.822289156626506,0.820601446236242,0.819153435667211,0.822289156626506,0.841336228060316
3,80,0.8353413654618473,0.8353413654618473,0.8353413654618473,0.8353413654618473,0.8566991830481002
3,90,0.821285140562249,0.8224412699696757,0.8237195734950177,0.821285140562249,0.8465715823784481
3,100,0.8353413654618473,0.8356132011359511,0.835893068934825,0.8353413654618473,0.8528776701785936
3,110,0.8072289156626506,0.8022832731980232,0.7988639122094878,0.8072289156626506,0.8309305916246162
3,120,0.8293172690763052,0.8249383148107498,0.8222052467062246,0.8293172690763052,0.8440396822110351
3,130,0.8323293172690763,0.8260992289982995,0.8231810100764035,0.8323293172690763,0.8544275716829445
4,3,0.5639187574671446,0.5797642996351259,0.6004163174707409,0.5639187574671446,0.5030770956404697
4,10,0.6941457586618877,0.7086871889801392,0.7383606056683515,0.6941457586618877,0.7259253720182457
4,20,0.7335722819593787,0.7397426509462584,0.7484530824169227,0.7335722819593787,0.7505720481567338
4,30,0.7586618876941458,0.7632604714388843,0.7695938096840791,0.7586618876941458,0.8126897479997008
4,40,0.7228195937873357,0.7223944322005722,0.7219775242454327,0.7228195937873357,0.7527405967247439
4,50,0.7120669056152927,0.7147712959775823,0.7178109086418514,0.7120669056152927,0.7561654079114634
4,60,0.7538829151732378,0.7549799748471961,0.7561574696299554,0.7538829151732378,0.7842219397293053
4,70,0.7706093189964157,0.7695368093595727,0.7685495859178988,0.7706093189964157,0.8277125551484333
4,80,0.7574671445639187,0.756138920684292,0.7549228728071233,0.7574671445639187,0.8249308307784342
4,90,0.7706093189964157,0.7687931134450658,0.7672151456100107,0.7706093189964157,0.8350407537575711
4,100,0.7765830346475507,0.7757160088883531,0.774909060421228,0.7765830346475507,0.8485829656771107
4,110,0.7753882915173238,0.7724740747336976,0.7701832985257897,0.7753882915173238,0.8497943617737233
4,120,0.7956989247311828,0.7949060829941627,0.7941763009674725,0.7956989247311828,0.8650190682718912
4,130,0.7825567502986858,0.7835259971950956,0.7845817124754506,0.7825567502986858,0.8587227996709789
5,3,0.6396292004634995,0.6541488369867765,0.681858666578718,0.6396292004634995,0.6653624933119315
5,10,0.7184241019698725,0.721292353361941,0.7247152430975476,0.7184241019698725,0.7329788657035847
5,20,0.6906141367323291,0.6966563546130827,0.7048822942218076,0.6906141367323291,0.7027621722846441
5,30,0.709154113557358,0.7107725605451161,0.7125436611188224,0.709154113557358,0.7337546816479401
5,40,0.7114716106604867,0.7134186544844224,0.7155948114327806,0.7114716106604867,0.7308119315141788
5,50,0.7728852838933952,0.7687031400374575,0.7660715393865128,0.7728852838933952,0.7659844836811127
5,60,0.7659327925840093,0.7640483087282897,0.7624820941414767,0.7659327925840093,0.7684657570893526
5,70,0.7520278099652375,0.7446128349627843,0.7407440808572293,0.7520278099652375,0.7313269127875869
5,80,0.7358053302433372,0.7296774078227574,0.725694347579658,0.7358053302433372,0.7283440342429106
5,90,0.7508690614136733,0.7414206139528963,0.7373485588444061,0.7508690614136733,0.7345171214553238
5,100,0.761297798377752,0.7520243583384151,0.7485322624069329,0.761297798377752,0.7366706795077582
5,110,0.7636152954808807,0.7548670722585089,0.751463977771369,0.7636152954808807,0.7543873729266988
5,120,0.7555040556199305,0.7492291551010585,0.7456757392208423,0.7555040556199305,0.7391185125735688
5,130,0.7531865585168018,0.7438260035905437,0.7398788344364702,0.7531865585168018,0.7315342429106475
