Fold,Num_Features,Accuracy,F1,Precision,Recall,AUC,Num_Subjects
1,3,0.7954545454545454,0.7853855005753739,0.7755681818181818,0.7954545454545454,0.4717948717948718,44
1,10,0.8636363636363636,0.8482954545454546,0.8377679231337768,0.8636363636363636,0.7487179487179487,44
1,20,0.9090909090909091,0.8988636363636363,0.8972653362897266,0.9090909090909091,0.8051282051282052,44
1,30,0.8863636363636364,0.8807697225418744,0.8767045454545456,0.8863636363636364,0.7897435897435898,44
1,40,0.8863636363636364,0.8807697225418744,0.8767045454545456,0.8863636363636364,0.8205128205128206,44
1,50,0.8181818181818182,0.7977272727272727,0.778270509977827,0.8181818181818182,0.8153846153846154,44
1,60,0.7954545454545454,0.7853855005753739,0.7755681818181818,0.7954545454545454,0.8358974358974359,44
1,70,0.8409090909090909,0.8330776115586243,0.8261363636363637,0.8409090909090909,0.8512820512820513,44
1,80,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8615384615384615,44
1,90,0.8409090909090909,0.8330776115586243,0.8261363636363637,0.8409090909090909,0.8717948717948718,44
1,100,0.8409090909090909,0.8330776115586243,0.8261363636363637,0.8409090909090909,0.835897435897436,44
1,110,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8512820512820513,44
1,120,0.7954545454545454,0.7853855005753739,0.7755681818181818,0.7954545454545454,0.8461538461538461,44
1,130,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8358974358974359,44
2,3,0.8636363636363636,0.8482954545454546,0.8377679231337768,0.8636363636363636,0.8307692307692308,44
2,10,0.9090909090909091,0.8988636363636363,0.8972653362897266,0.9090909090909091,0.8871794871794871,44
2,20,0.8863636363636364,0.8907910271546634,0.8965311004784688,0.8863636363636364,0.9025641025641026,44
2,30,0.8636363636363636,0.8482954545454546,0.8377679231337768,0.8636363636363636,0.9384615384615385,44
2,40,0.8863636363636364,0.8641173641173641,0.8587662337662337,0.8863636363636364,0.9025641025641026,44
2,50,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9076923076923077,44
2,60,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8820512820512821,44
2,70,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9179487179487179,44
2,80,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9282051282051282,44
2,90,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9282051282051282,44
2,100,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9282051282051282,44
2,110,0.8863636363636364,0.8907910271546634,0.8965311004784688,0.8863636363636364,0.9230769230769231,44
2,120,0.8863636363636364,0.8807697225418744,0.8767045454545456,0.8863636363636364,0.9333333333333333,44
2,130,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9179487179487179,44
3,3,0.813953488372093,0.8301101591187269,0.8489419652210349,0.813953488372093,0.5448717948717948,43
3,10,0.9302325581395349,0.9256907355229405,0.9236434108527131,0.9302325581395349,0.8205128205128205,43
3,20,0.8372093023255814,0.8451961475217288,0.8539779681762545,0.8372093023255814,0.8525641025641025,43
3,30,0.9069767441860465,0.8926356589147286,0.8871242200794102,0.9069767441860465,0.9294871794871794,43
3,40,0.9302325581395349,0.9256907355229405,0.9236434108527131,0.9302325581395349,0.923076923076923,43
3,50,0.9302325581395349,0.9336554917950267,0.938922888616891,0.9302325581395349,0.9551282051282052,43
3,60,0.9302325581395349,0.9336554917950267,0.938922888616891,0.9302325581395349,0.9615384615384616,43
3,70,0.8837209302325582,0.8761512258715674,0.8699612403100776,0.8837209302325582,0.8846153846153846,43
3,80,0.9302325581395349,0.9256907355229405,0.9236434108527131,0.9302325581395349,0.9166666666666666,43
3,90,0.9302325581395349,0.9256907355229405,0.9236434108527131,0.9302325581395349,0.9423076923076923,43
3,100,0.9069767441860465,0.8926356589147286,0.8871242200794102,0.9069767441860465,0.9551282051282052,43
3,110,0.9302325581395349,0.9256907355229405,0.9236434108527131,0.9302325581395349,0.9423076923076924,43
3,120,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9487179487179488,43
3,130,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9551282051282051,43
4,3,0.8837209302325582,0.8610118171495857,0.8556437889960296,0.8837209302325582,0.6210526315789473,43
4,10,0.9069767441860465,0.8965414430530709,0.8949612403100775,0.9069767441860465,0.9315789473684211,43
4,20,0.9534883720930233,0.9482707215265354,0.9558139534883722,0.9534883720930233,0.9421052631578948,43
4,30,0.9302325581395349,0.9166070902897515,0.9353374929098128,0.9302325581395349,0.9263157894736842,43
4,40,0.9302325581395349,0.9166070902897515,0.9353374929098128,0.9302325581395349,0.9105263157894737,43
4,50,0.9302325581395349,0.9166070902897515,0.9353374929098128,0.9302325581395349,0.9421052631578947,43
4,60,0.9302325581395349,0.9166070902897515,0.9353374929098128,0.9302325581395349,0.8894736842105263,43
4,70,0.9302325581395349,0.9166070902897515,0.9353374929098128,0.9302325581395349,0.8999999999999999,43
4,80,0.9534883720930233,0.9482707215265354,0.9558139534883722,0.9534883720930233,0.868421052631579,43
4,90,0.9302325581395349,0.9166070902897515,0.9353374929098128,0.9302325581395349,0.8894736842105262,43
4,100,0.9069767441860465,0.8782945736434108,0.9158361018826134,0.9069767441860465,0.9210526315789473,43
4,110,0.9302325581395349,0.9166070902897515,0.9353374929098128,0.9302325581395349,0.9105263157894736,43
4,120,0.9302325581395349,0.9166070902897515,0.9353374929098128,0.9302325581395349,0.9421052631578948,43
4,130,0.9302325581395349,0.9166070902897515,0.9353374929098128,0.9302325581395349,0.9526315789473685,43
5,3,0.8837209302325582,0.8610118171495857,0.8556437889960296,0.8837209302325582,0.5684210526315789,43
5,10,0.8837209302325582,0.888231148696265,0.8940917661847894,0.8837209302325582,0.8789473684210527,43
5,20,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8368421052631579,43
5,30,0.8372093023255814,0.829222457129434,0.8221526535480024,0.8372093023255814,0.8578947368421053,43
5,40,0.8837209302325582,0.888231148696265,0.8940917661847894,0.8837209302325582,0.8789473684210527,43
5,50,0.8372093023255814,0.843523608174771,0.8508275717578043,0.8372093023255814,0.9,43
5,60,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8894736842105263,43
5,70,0.8837209302325582,0.888231148696265,0.8940917661847894,0.8837209302325582,0.9157894736842106,43
5,80,0.9069767441860465,0.8965414430530709,0.8949612403100775,0.9069767441860465,0.9473684210526315,43
5,90,0.9302325581395349,0.9268096244840431,0.9256112104949314,0.9302325581395349,0.9157894736842105,43
5,100,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8947368421052632,43
5,110,0.8837209302325582,0.888231148696265,0.8940917661847894,0.8837209302325582,0.9052631578947368,43
5,120,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9157894736842105,43
5,130,0.9302325581395349,0.9268096244840431,0.9256112104949314,0.9302325581395349,0.9473684210526316,43
