Fold,Num_Features,Accuracy,F1,Precision,Recall,AUC
1,3,0.7114427860696517,0.7481246813598508,0.7945167546336951,0.7114427860696517,0.4630709574987787
1,10,0.8059701492537313,0.8181125026209947,0.8325129570364497,0.8059701492537313,0.6747068881289693
1,20,0.8345771144278606,0.8412000617845855,0.8488137294107444,0.8345771144278606,0.7465192965315095
1,30,0.8432835820895522,0.8417617793386011,0.8402865686802149,0.8432835820895522,0.708994870542257
1,40,0.8557213930348259,0.8504828390160789,0.845895021607369,0.8557213930348259,0.7339551783097216
1,50,0.8308457711442786,0.8274738546980689,0.8242596541104005,0.8308457711442786,0.7682431607230092
1,60,0.835820895522388,0.8307797025754172,0.8261111569225695,0.835820895522388,0.7822270395701025
1,70,0.8532338308457711,0.8487273098780246,0.844685756301366,0.8532338308457711,0.8179195163654128
1,80,0.8445273631840796,0.844157126361291,0.8437898512002049,0.8445273631840796,0.8317202002931119
1,90,0.8694029850746269,0.8650295021613902,0.8613038691309928,0.8694029850746269,0.8471543722520762
1,100,0.8420398009950248,0.8416636403830718,0.8412903655205469,0.8420398009950248,0.8232169027845627
1,110,0.8420398009950248,0.8445441968092418,0.847191080916073,0.8420398009950248,0.8240107474352711
1,120,0.8345771144278606,0.8364738051189514,0.8384379158466261,0.8345771144278606,0.8186217635564239
1,130,0.8383084577114428,0.8383084577114428,0.8383084577114428,0.8383084577114428,0.8201331216414265
2,3,0.7161862527716186,0.7470922594247992,0.7920467055180966,0.7161862527716186,0.6286409752904598
2,10,0.8203991130820399,0.8263181194597379,0.8332962697975312,0.8203991130820399,0.7699537718867615
2,20,0.844789356984479,0.8437371577916338,0.8427269651579927,0.844789356984479,0.8207228767795778
2,30,0.8691796008869179,0.8550304742724204,0.8500180983482044,0.8691796008869179,0.8692521682212404
2,40,0.8492239467849224,0.8345598456641832,0.8261834339478099,0.8492239467849224,0.8668282605138276
2,50,0.8514412416851441,0.848297191237432,0.8455550138529098,0.8514412416851441,0.8843888070692195
2,60,0.8636363636363636,0.8583482633069409,0.8544313904414281,0.8636363636363636,0.8829671903125511
2,70,0.8725055432372506,0.8695676504656166,0.867169892160885,0.8725055432372506,0.918855342824415
2,80,0.8680709534368071,0.8618518661139364,0.8576646647947885,0.8680709534368071,0.9178939617083947
2,90,0.8691796008869179,0.8643729814143722,0.8608518684288698,0.8691796008869179,0.9330408280150548
2,100,0.8636363636363636,0.8583482633069409,0.8544313904414281,0.8636363636363636,0.9227520045819015
2,110,0.8691796008869179,0.8648979729296647,0.8616499205981297,0.8691796008869179,0.9213406152839143
2,120,0.8713968957871396,0.8671878377952635,0.8640268570077503,0.8713968957871396,0.9266588937980691
2,130,0.8669623059866962,0.861529376125659,0.8576408080580095,0.8669623059866962,0.9282339224349534
3,3,0.6774193548387096,0.745078517269114,0.8477328636987428,0.6774193548387096,0.5366859417954308
3,10,0.8531701890989989,0.8709729398189058,0.8967843714695736,0.8531701890989989,0.8064903466363319
3,20,0.8631813125695217,0.8792045154479851,0.9030308771525479,0.8631813125695217,0.8449458084494581
3,30,0.8787541713014461,0.889531317355345,0.9044894497504676,0.8787541713014461,0.8674439915315828
3,40,0.9076751946607341,0.9130187111392414,0.920274105145336,0.9076751946607341,0.8865611274370397
3,50,0.9232480533926585,0.926662230424301,0.9312875722154611,0.9232480533926585,0.9076531740765317
3,60,0.917686318131257,0.9207625605364744,0.9246378518231732,0.917686318131257,0.9197396277688248
3,70,0.9154616240266963,0.9121958784351578,0.9095944396190073,0.9154616240266963,0.9012228647265143
3,80,0.9243604004449388,0.9214384175472463,0.9192506215785479,0.9243604004449388,0.9189496634752109
3,90,0.9265850945494994,0.92212430885784,0.9194415640730755,0.9265850945494994,0.9215249470723923
3,100,0.9276974416017798,0.925156854376632,0.923250056418563,0.9276974416017798,0.931541694315417
3,110,0.9221357063403782,0.9196674668152784,0.9176898301340052,0.9221357063403782,0.9314468986001833
3,120,0.9254727474972191,0.9223294459389797,0.9200649382547473,0.9254727474972191,0.9352545264954024
