,accuracy,accuracy,accuracy,accuracy,accuracy,f1,f1,f1,f1,f1,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,auc,auc,auc,auc,auc
threshold,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9,0.5,0.6,0.7,0.8,0.9
fold,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.872,0.957,0.936,0.915,0.936,0.829,0.954,0.929,0.9,0.929,0.889,0.959,0.941,0.923,0.941,0.872,0.957,0.936,0.915,0.936,0.971,0.968,0.971,0.971,0.968
2,0.87,0.826,0.848,0.848,0.826,0.809,0.787,0.798,0.798,0.787,0.756,0.751,0.754,0.754,0.751,0.87,0.826,0.848,0.848,0.826,0.738,0.775,0.775,0.762,0.796
3,0.935,0.935,0.935,0.935,0.935,0.925,0.925,0.925,0.925,0.925,0.939,0.939,0.939,0.939,0.939,0.935,0.935,0.935,0.935,0.935,0.933,0.938,0.917,0.929,0.929
4,0.848,0.87,0.848,0.848,0.826,0.852,0.87,0.843,0.843,0.814,0.857,0.87,0.839,0.839,0.805,0.848,0.87,0.848,0.848,0.826,0.89,0.879,0.883,0.875,0.879
5,0.891,0.891,0.891,0.891,0.891,0.888,0.888,0.888,0.888,0.888,0.886,0.886,0.886,0.886,0.886,0.891,0.891,0.891,0.891,0.891,0.912,0.912,0.916,0.923,0.923
