accuracy,f1,precision,recall,auc,data_type,fold,model_type,feature_selection,model
0.8755868544600939,0.8745998350328678,0.8737337161494586,0.8755868544600939,0.9119924812030076,fimo,1,xgboost,PCA,xgboost_PCA
0.8190854870775348,0.8235570995533822,0.8296584251631173,0.8190854870775348,0.81851743191042,fimo,2,xgboost,PCA,xgboost_PCA
0.784841075794621,0.7864206870718915,0.7881624588704971,0.784841075794621,0.8649448754593712,fimo,3,xgboost,PCA,xgboost_PCA
0.9036697247706422,0.9053054269362399,0.907749000473094,0.9036697247706422,0.8964082792207793,fimo,4,xgboost,PCA,xgboost_PCA
0.8794871794871795,0.8788365986335529,0.8783149944440267,0.8794871794871795,0.9464994331065759,fimo,5,xgboost,PCA,xgboost_PCA
0.8345771144278606,0.8364738051189514,0.8384379158466261,0.8345771144278606,0.8186217635564239,deep,1,xgboost,PCA,xgboost_PCA
0.8713968957871396,0.8671878377952635,0.8640268570077503,0.8713968957871396,0.9266588937980691,deep,2,xgboost,PCA,xgboost_PCA
0.9254727474972191,0.9223294459389797,0.9200649382547473,0.9254727474972191,0.9352545264954024,deep,3,xgboost,PCA,xgboost_PCA
0.905055487053021,0.9004764774342707,0.8981694275920671,0.905055487053021,0.931471738837178,deep,4,xgboost,PCA,xgboost_PCA
0.8766756032171582,0.8796705007498935,0.883105492706522,0.8766756032171582,0.8367680909221694,deep,5,xgboost,PCA,xgboost_PCA
0.8180839612486545,0.8070365542676716,0.8098820066811897,0.8180839612486545,0.7801997333769909,rp,1,xgboost,PCA,xgboost_PCA
0.773854961832061,0.7783573308885758,0.7842697655295675,0.773854961832061,0.8014435662185173,rp,2,xgboost,PCA,xgboost_PCA
0.8293172690763052,0.8249383148107498,0.8222052467062246,0.8293172690763052,0.8440396822110351,rp,3,xgboost,PCA,xgboost_PCA
0.7956989247311828,0.7949060829941627,0.7941763009674725,0.7956989247311828,0.8650190682718912,rp,4,xgboost,PCA,xgboost_PCA
0.7555040556199305,0.7492291551010585,0.7456757392208423,0.7555040556199305,0.7391185125735688,rp,5,xgboost,PCA,xgboost_PCA
0.9326383319967922,0.9291802751071051,0.9271580528901548,0.9326383319967922,0.9506296254494446,reg,1,xgboost,PCA,xgboost_PCA
0.8946058091286307,0.9001666325917718,0.9070445689675101,0.8946058091286307,0.8846140048787487,reg,2,xgboost,PCA,xgboost_PCA
0.9453302961275627,0.9506734484365871,0.9604398037027412,0.9453302961275627,0.9759578888489353,reg,3,xgboost,PCA,xgboost_PCA
0.8889934148635936,0.8983664453733228,0.9115112028315152,0.8889934148635936,0.8836144244745403,reg,4,xgboost,PCA,xgboost_PCA
0.9472382522671063,0.9491805903317342,0.9518830266319243,0.9472382522671063,0.9662592309651132,reg,5,xgboost,PCA,xgboost_PCA
