data_type,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std
deep,0.8826355695964796,0.03467391170133272,0.8812276134074718,0.03264323306278612,0.8807609262815426,0.03132341198498184,0.8826355695964796,0.03467391170133272,0.8897550027218486,0.057096279319528036
fimo,0.8525340643180144,0.04892316765915732,0.8537439294455869,0.04787186681906485,0.8555237190200387,0.04686437626010704,0.8525340643180144,0.04892316765915732,0.8876725001800307,0.04854727526537566
reg,0.9217612208767371,0.027991237383720464,0.9255134783681042,0.025426490477944617,0.9316073310047692,0.023819083930959602,0.9217612208767371,0.027991237383720464,0.9322150349233563,0.04483140387951513
rp,0.7944918345016267,0.03048271567746726,0.7908934876124436,0.028847970512324156,0.7912418118210593,0.029324387429922872,0.7944918345016267,0.03048271567746726,0.8059641125304007,0.05022402216529855
