comparison,group1,group2,metric,t_statistic,p_value,significant,effect_size,mean_diff,group1_mean,group2_mean,group1_std,group2_std,group1_n,group2_n
data_type_within_xgboost_PCA,fimo,deep,accuracy,-1.1224786251463619,0.29764871539814375,False,-0.7099178160633713,-0.030101505278465446,0.8525340643180144,0.8826355695964798,0.048923167659157336,0.03467391170133273,5,5
data_type_within_xgboost_PCA,fimo,rp,accuracy,2.251569390345045,0.06073627783031506,False,1.4240175166814146,0.058042229816387514,0.8525340643180144,0.7944918345016269,0.048923167659157336,0.03048271567746724,5,5
data_type_within_xgboost_PCA,fimo,reg,accuracy,-2.7463372380497577,0.0315009054975956,True,-1.7369361790346554,-0.06922715655872269,0.8525340643180144,0.9217612208767371,0.048923167659157336,0.027991237383720467,5,5
data_type_within_xgboost_PCA,deep,rp,accuracy,4.269098915120865,0.0028312672796909156,True,2.700015225667156,0.08814373509485296,0.8826355695964798,0.7944918345016269,0.03467391170133273,0.03048271567746724,5,5
data_type_within_xgboost_PCA,deep,reg,accuracy,-1.9632697474647562,0.0868315571736773,False,-1.2416808126584429,-0.039125651280257245,0.8826355695964798,0.9217612208767371,0.03467391170133273,0.027991237383720467,5,5
data_type_within_xgboost_PCA,rp,reg,accuracy,-6.876502865538262,0.00013192037523568597,True,-4.349082278355098,-0.1272693863751102,0.7944918345016269,0.9217612208767371,0.03048271567746724,0.027991237383720467,5,5
data_type_within_xgboost_PCA,fimo,deep,f1,-1.0606329435675383,0.32379447319465243,False,-0.6708031726164513,-0.02748368396188494,0.8537439294455869,0.8812276134074718,0.04787186681906486,0.032643233062786145,5,5
data_type_within_xgboost_PCA,fimo,rp,f1,2.5144517915073137,0.04229219519035862,True,1.5902789455707875,0.06285044183314326,0.8537439294455869,0.7908934876124436,0.04787186681906486,0.028847970512324142,5,5
data_type_within_xgboost_PCA,fimo,reg,f1,-2.9606216589933148,0.02481680242264864,True,-1.8724615464890408,-0.0717695489225173,0.8537439294455869,0.9255134783681042,0.04787186681906486,0.025426490477944614,5,5
data_type_within_xgboost_PCA,deep,rp,f1,4.636745095204155,0.0017410021706660973,True,2.9325350860918813,0.0903341257950282,0.8812276134074718,0.7908934876124436,0.032643233062786145,0.028847970512324142,5,5
data_type_within_xgboost_PCA,deep,reg,f1,-2.393245264620001,0.04543060158604065,True,-1.5136212071223176,-0.04428586496063236,0.8812276134074718,0.9255134783681042,0.032643233062786145,0.025426490477944614,5,5
data_type_within_xgboost_PCA,rp,reg,f1,-7.828035495597666,5.562801342956354e-05,True,-4.950884354146721,-0.13461999075566056,0.7908934876124436,0.9255134783681042,0.028847970512324142,0.025426490477944614,5,5
data_type_within_xgboost_PCA,fimo,deep,precision,-1.0011256321066897,0.3502039317147326,False,-0.6331674442865864,-0.025237207261503913,0.8555237190200387,0.8807609262815426,0.046864376260107025,0.03132341198498188,5,5
data_type_within_xgboost_PCA,fimo,rp,precision,2.600061489461227,0.036734666820729296,True,1.644423272637472,0.0642819071989793,0.8555237190200387,0.7912418118210593,0.046864376260107025,0.029324387429922872,5,5
data_type_within_xgboost_PCA,fimo,reg,precision,-3.236212841925711,0.018036980936752493,True,-2.0467607147143396,-0.07608361198473057,0.8555237190200387,0.9316073310047692,0.046864376260107025,0.023819083930959602,5,5
data_type_within_xgboost_PCA,deep,rp,precision,4.665142784016766,0.0016313932194867917,True,2.9504953614783878,0.08951911446048322,0.8807609262815426,0.7912418118210593,0.03132341198498188,0.029324387429922872,5,5
data_type_within_xgboost_PCA,deep,reg,precision,-2.8892755371217644,0.021761705314216614,True,-1.82733829702223,-0.05084640472322666,0.8807609262815426,0.9316073310047692,0.03132341198498188,0.023819083930959602,5,5
data_type_within_xgboost_PCA,rp,reg,precision,-8.307925712722039,4.228433502971661e-05,True,-5.254393576735872,-0.14036551918370987,0.7912418118210593,0.9316073310047692,0.029324387429922872,0.023819083930959602,5,5
data_type_within_xgboost_PCA,fimo,deep,recall,-1.1224786251463619,0.29764871539814375,False,-0.7099178160633713,-0.030101505278465446,0.8525340643180144,0.8826355695964798,0.048923167659157336,0.03467391170133273,5,5
data_type_within_xgboost_PCA,fimo,rp,recall,2.251569390345045,0.06073627783031506,False,1.4240175166814146,0.058042229816387514,0.8525340643180144,0.7944918345016269,0.048923167659157336,0.03048271567746724,5,5
data_type_within_xgboost_PCA,fimo,reg,recall,-2.7463372380497577,0.0315009054975956,True,-1.7369361790346554,-0.06922715655872269,0.8525340643180144,0.9217612208767371,0.048923167659157336,0.027991237383720467,5,5
data_type_within_xgboost_PCA,deep,rp,recall,4.269098915120865,0.0028312672796909156,True,2.700015225667156,0.08814373509485296,0.8826355695964798,0.7944918345016269,0.03467391170133273,0.03048271567746724,5,5
data_type_within_xgboost_PCA,deep,reg,recall,-1.9632697474647562,0.0868315571736773,False,-1.2416808126584429,-0.039125651280257245,0.8826355695964798,0.9217612208767371,0.03467391170133273,0.027991237383720467,5,5
data_type_within_xgboost_PCA,rp,reg,recall,-6.876502865538262,0.00013192037523568597,True,-4.349082278355098,-0.1272693863751102,0.7944918345016269,0.9217612208767371,0.03048271567746724,0.027991237383720467,5,5
data_type_within_xgboost_PCA,fimo,deep,auc,-0.06213340743985908,0.9520194803288364,False,-0.03929661725944123,-0.0020825025418178544,0.8876725001800307,0.8897550027218486,0.048547275265375694,0.057096279319528036,5,5
data_type_within_xgboost_PCA,fimo,rp,auc,2.6156119460931575,0.03089001753908036,True,1.654258244959986,0.08170838764963007,0.8876725001800307,0.8059641125304007,0.048547275265375694,0.05022402216529855,5,5
