fold,0.5,0.6,0.7,0.8,0.9
1,0.804,0.804,0.8,0.795,0.8
2,0.663,0.659,0.663,0.661,0.672
3,0.723,0.714,0.722,0.725,0.721
4,0.683,0.685,0.668,0.679,0.677
5,0.689,0.696,0.677,0.68,0.698
