Num Features,Test Accuracy mean,Test Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,AUC mean,AUC std,Fold mean,Fold std
3,0.4720496894409938,,0.4767523954333477,,0.5008740803343502,,0.4720496894409938,,0.4800257731958763,,1.0,
10,0.639751552795031,,0.6333164068869994,,0.6318827680062951,,0.639751552795031,,0.6568943298969072,,1.0,
20,0.6521739130434783,,0.6459606687184822,,0.6448748626725058,,0.6521739130434783,,0.7301868556701031,,1.0,
30,0.7204968944099379,,0.7220535811578636,,0.7249977495724188,,0.7204968944099379,,0.8021907216494846,,1.0,
40,0.7453416149068323,,0.7413568125901036,,0.742263724790386,,0.7453416149068323,,0.7851159793814433,,1.0,
50,0.7391304347826086,,0.738391008577344,,0.7378837462988935,,0.7391304347826086,,0.7989690721649485,,1.0,
60,0.7639751552795031,,0.7633061506175969,,0.7628782313214291,,0.7639751552795031,,0.8174935567010309,,1.0,
70,0.8322981366459627,,0.8332321486947182,,0.8357862993968854,,0.8322981366459627,,0.892235824742268,,1.0,
80,0.8385093167701864,,0.8397861248286129,,0.8452167709617637,,0.8385093167701864,,0.8874033505154639,,1.0,
90,0.8385093167701864,,0.8397861248286129,,0.8452167709617637,,0.8385093167701864,,0.8867590206185567,,1.0,
100,0.8757763975155279,,0.8765752314152772,,0.8798307282779332,,0.8757763975155279,,0.889014175257732,,1.0,
110,0.8571428571428571,,0.8579384970362413,,0.8604059771356557,,0.8571428571428571,,0.8944909793814433,,1.0,
120,0.8695652173913043,,0.870505567180759,,0.8747567530788597,,0.8695652173913043,,0.8909471649484535,,1.0,
130,0.8385093167701864,,0.8385093167701864,,0.8385093167701864,,0.8385093167701864,,0.8891752577319587,,1.0,
