fold,0.5,0.6,0.7,0.8,0.9
1,0.851,0.845,0.87,0.863,0.857
2,0.731,0.752,0.745,0.731,0.759
3,0.767,0.795,0.785,0.808,0.785
4,0.77,0.776,0.776,0.776,0.758
5,0.762,0.803,0.787,0.77,0.795
